stamp_ns,time_s_from_start,visible,rel_x_m,rel_y_m,range_m,bearing_deg,u_px,bbox_w_px,bbox_h_px,sync_dt_ms
1777025614642840517,0.000,0,-0.8422,2.3965,2.5402,109.364,nan,nan,nan,2.252
1777025614741588723,0.099,0,-0.8422,2.3965,2.5402,109.363,nan,nan,nan,1.460
1777025614843057216,0.200,0,-0.8421,2.3965,2.5402,109.361,nan,nan,nan,2.813
1777025614946210352,0.303,0,-0.8422,2.3965,2.5402,109.362,nan,nan,nan,2.971
1777025615046183313,0.403,0,-0.8422,2.3965,2.5402,109.363,nan,nan,nan,2.575
1777025615142034047,0.499,0,-0.8422,2.3965,2.5402,109.364,nan,nan,nan,1.181
1777025615244432834,0.602,0,-0.8423,2.3964,2.5402,109.366,nan,nan,nan,3.155
1777025615343040892,0.700,0,-0.8425,2.3961,2.5399,109.372,nan,nan,nan,1.291
1777025615442893020,0.800,0,-0.8421,2.3965,2.5402,109.362,nan,nan,nan,2.517
1777025615545642361,0.903,0,-0.8412,2.3968,2.5401,109.339,nan,nan,nan,4.010
1777025615642839738,1.000,0,-0.8412,2.3968,2.5401,109.340,nan,nan,nan,1.535
1777025615743217735,1.100,0,-0.8420,2.3966,2.5402,109.358,nan,nan,nan,2.171
1777025615844083934,1.201,0,-0.8422,2.3965,2.5402,109.362,nan,nan,nan,3.275
1777025615944575079,1.302,0,-0.8422,2.3965,2.5402,109.363,nan,nan,nan,2.464
1777025616042533398,1.400,0,-0.8421,2.3965,2.5402,109.361,nan,nan,nan,0.731
1777025616142452674,1.500,0,-0.8423,2.3965,2.5402,109.364,nan,nan,nan,1.234
1777025616241724638,1.599,0,-0.8423,2.3965,2.5402,109.365,nan,nan,nan,0.189
1777025616342798892,1.700,0,-0.8423,2.3962,2.5399,109.367,nan,nan,nan,1.280
1777025616443907719,1.801,0,-0.8424,2.3961,2.5399,109.370,nan,nan,nan,2.098
1777025616543369849,1.901,0,-0.8425,2.3961,2.5399,109.372,nan,nan,nan,1.651
1777025616642885200,2.000,0,-0.8412,2.3969,2.5402,109.339,nan,nan,nan,0.702
1777025616742066460,2.099,0,-0.8422,2.3965,2.5402,109.363,nan,nan,nan,0.683
1777025616843473898,2.201,0,-0.8420,2.3966,2.5403,109.358,nan,nan,nan,0.611
1777025616942602399,2.300,0,-0.8419,2.3967,2.5403,109.354,nan,nan,nan,0.386
1777025617044188133,2.401,0,-0.8420,2.3966,2.5402,109.357,nan,nan,nan,1.524
1777025617143940039,2.501,0,-0.8423,2.3962,2.5399,109.367,nan,nan,nan,2.015
1777025617242360468,2.600,0,-0.8417,2.3967,2.5402,109.351,nan,nan,nan,0.520
1777025617343218482,2.700,0,-0.8421,2.3966,2.5402,109.361,nan,nan,nan,0.543
1777025617443102221,2.800,0,-0.8421,2.3966,2.5402,109.360,nan,nan,nan,0.240
1777025617542679665,2.900,0,-0.8422,2.3966,2.5402,109.362,nan,nan,nan,0.189
1777025617642441090,3.000,0,-0.8420,2.3966,2.5402,109.358,nan,nan,nan,0.854
1777025617741961404,3.099,0,-0.8419,2.3966,2.5402,109.356,nan,nan,nan,0.582
1777025617842687437,3.200,0,-0.8421,2.3963,2.5399,109.362,nan,nan,nan,1.119
1777025617943123174,3.300,0,-0.8420,2.3966,2.5402,109.358,nan,nan,nan,0.239
1777025618042046731,3.399,0,-0.8422,2.3965,2.5402,109.363,nan,nan,nan,1.477
1777025618140993640,3.498,0,-0.8407,2.3971,2.5402,109.328,nan,nan,nan,2.034
1777025618243962777,3.601,0,-0.8422,2.3966,2.5402,109.363,nan,nan,nan,0.525
1777025618343285685,3.700,0,-0.8420,2.3967,2.5402,109.357,nan,nan,nan,0.381
1777025618443533812,3.801,0,-0.8422,2.3966,2.5402,109.362,nan,nan,nan,1.578
1777025618543040607,3.900,0,-0.8420,2.3967,2.5403,109.357,nan,nan,nan,0.713
1777025618642758051,4.000,0,-0.8423,2.3965,2.5402,109.364,nan,nan,nan,1.282
1777025618743333288,4.100,0,-0.8418,2.3967,2.5403,109.353,nan,nan,nan,0.728
1777025618844510393,4.202,0,-0.8423,2.3962,2.5399,109.367,nan,nan,nan,0.424
1777025618943229136,4.300,0,-0.8422,2.3966,2.5402,109.361,nan,nan,nan,1.065
1777025619041463084,4.399,0,-0.8416,2.3945,2.5381,109.364,nan,nan,nan,3.077
1777025619143624946,4.501,0,-0.8387,2.3839,2.5271,109.382,nan,nan,nan,0.388
1777025619244678533,4.602,0,-0.8333,2.3627,2.5053,109.428,nan,nan,nan,0.417
1777025619344595513,4.702,0,-0.8264,2.3344,2.4764,109.495,nan,nan,nan,0.037
1777025619442620647,4.800,0,-0.8228,2.3189,2.4606,109.535,nan,nan,nan,2.078
1777025619543512513,4.901,0,-0.8172,2.2977,2.4387,109.579,nan,nan,nan,1.018
1777025619643082697,5.000,0,-0.8115,2.2782,2.4184,109.607,nan,nan,nan,1.788
1777025619742490919,5.100,0,-0.8068,2.2602,2.3999,109.645,nan,nan,nan,2.434
1777025619841427921,5.199,0,-0.8010,2.2401,2.3790,109.676,nan,nan,nan,3.967
1777025619943375339,5.301,0,-0.7970,2.2196,2.3584,109.753,nan,nan,nan,1.460
1777025620045150701,5.402,0,-0.7896,2.2013,2.3387,109.733,nan,nan,nan,0.200
1777025620145922993,5.503,0,-0.7839,2.1821,2.3186,109.761,nan,nan,nan,0.915
1777025620243570110,5.601,0,-0.7770,2.1630,2.2983,109.760,nan,nan,nan,1.836
1777025620342933814,5.700,0,-0.7717,2.1441,2.2788,109.795,nan,nan,nan,3.051
1777025620444410455,5.802,0,-0.7664,2.1249,2.2589,109.834,nan,nan,nan,1.288
1777025620541716536,5.899,0,-0.7621,2.1072,2.2408,109.884,nan,nan,nan,3.998
1777025620642156940,5.999,0,-0.7577,2.0858,2.2192,109.964,nan,nan,nan,3.960
1777025620740956312,6.098,0,-0.7531,2.0675,2.2004,110.014,nan,nan,nan,3.237
1777025620842429732,6.200,0,-0.7484,2.0481,2.1806,110.073,nan,nan,nan,2.671
1777025620943224635,6.300,0,-0.7432,2.0269,2.1588,110.136,nan,nan,nan,3.472
1777025621043953297,6.401,0,-0.7378,2.0069,2.1382,110.186,nan,nan,nan,2.460
1777025621142472837,6.500,0,-0.7358,1.9863,2.1182,110.326,nan,nan,nan,3.887
1777025621242749371,6.600,0,-0.7438,1.9651,2.1011,110.732,nan,nan,nan,3.472
1777025621343121942,6.700,0,-0.7583,1.9441,2.0867,111.308,nan,nan,nan,3.796
1777025621443665790,6.801,0,-0.7622,1.9265,2.0718,111.584,nan,nan,nan,3.555
1777025621546280410,6.903,0,-0.7343,1.9151,2.0510,110.979,nan,nan,nan,1.428
1777025621643608249,7.001,0,-0.7321,1.8963,2.0327,111.111,nan,nan,nan,3.536
1777025621744936447,7.102,0,-0.7378,1.8773,2.0170,111.455,nan,nan,nan,2.357
1777025621843958115,7.201,0,-0.7358,1.8581,1.9985,111.603,nan,nan,nan,3.284
1777025621942796413,7.300,0,-0.7323,1.8415,1.9818,111.686,nan,nan,nan,4.166
1777025622044182481,7.401,0,-0.7364,1.8211,1.9644,112.018,nan,nan,nan,3.246
1777025622144844903,7.502,0,-0.7488,1.8002,1.9498,112.585,nan,nan,nan,2.955
1777025622243043777,7.600,0,-0.7672,1.7808,1.9391,113.306,nan,nan,nan,3.768
1777025622344109827,7.701,0,-0.7886,1.7602,1.9288,114.133,nan,nan,nan,3.702
1777025622446831872,7.804,0,-0.8025,1.7419,1.9179,114.736,nan,nan,nan,2.497
1777025622545759466,7.903,0,-0.8301,1.7158,1.9061,115.819,nan,nan,nan,2.910
1777025622642507585,8.000,0,-0.8495,1.6976,1.8983,116.584,nan,nan,nan,2.603
1777025622742990712,8.100,0,-0.8711,1.6761,1.8889,117.463,nan,nan,nan,3.200
1777025622841805750,8.199,0,-0.8954,1.6521,1.8792,118.456,nan,nan,nan,1.625
1777025622942928856,8.300,0,-0.9182,1.6302,1.8710,119.390,nan,nan,nan,1.877
1777025623043637889,8.401,0,-0.9439,1.6063,1.8631,120.439,nan,nan,nan,3.137
1777025623143646535,8.501,0,-0.9740,1.5801,1.8562,121.651,nan,nan,nan,3.308
1777025623242973276,8.600,0,-1.0008,1.5549,1.8491,122.768,nan,nan,nan,3.209
1777025623342350202,8.700,0,-1.0222,1.5349,1.8441,123.663,nan,nan,nan,1.677
1777025623442304885,8.799,0,-1.0473,1.5129,1.8401,124.693,nan,nan,nan,1.967
1777025623541983885,8.899,0,-1.0724,1.4914,1.8369,125.717,nan,nan,nan,0.796
1777025623642637029,9.000,0,-1.0977,1.4699,1.8346,126.751,nan,nan,nan,2.086
1777025623742486546,9.100,0,-1.1238,1.4471,1.8322,127.835,nan,nan,nan,1.736
1777025623844730518,9.202,0,-1.1468,1.4322,1.8348,128.686,nan,nan,nan,3.764
1777025623941412545,9.299,0,-1.1766,1.4121,1.8381,129.803,nan,nan,nan,0.030
1777025624041790357,9.399,0,-1.2014,1.3872,1.8351,130.896,nan,nan,nan,1.256
1777025624139124882,9.496,0,-1.2259,1.3777,1.8442,131.664,nan,nan,nan,2.118
1777025624242706202,9.600,0,-1.2327,1.3877,1.8561,131.616,nan,nan,nan,1.197
1777025624342941551,9.700,0,-1.2443,1.3908,1.8662,131.818,nan,nan,nan,2.060
1777025624442068071,9.799,0,-1.2519,1.3991,1.8774,131.823,nan,nan,nan,1.726
1777025624541360978,9.899,0,-1.2582,1.4086,1.8887,131.772,nan,nan,nan,0.538
1777025624641305347,9.998,0,-1.2417,1.4365,1.8988,130.839,nan,nan,nan,0.206
1777025624742107935,10.099,0,-1.1787,1.4937,1.9027,128.277,nan,nan,nan,0.445
1777025624843376707,10.201,0,-1.1258,1.5349,1.9035,126.259,nan,nan,nan,0.595
1777025624943177594,10.300,0,-1.0530,1.5831,1.9013,123.629,nan,nan,nan,0.371
1777025625043852368,10.401,0,-0.9714,1.6336,1.9006,120.737,nan,nan,nan,1.008
1777025625142717111,10.500,0,-0.8891,1.6798,1.9006,117.891,nan,nan,nan,0.031
1777025625242976812,10.600,0,-0.7977,1.7247,1.9003,114.822,nan,nan,nan,0.526
1777025625342088849,10.699,0,-0.7086,1.7646,1.9015,111.879,nan,nan,nan,0.714
